ticker,signal_date,entry_date,exit_date,position,pred_prob,raw_return,net_return
JPM,2017-03-17,2017-03-20,2017-03-21,1,0.5522577763910832,0.0009971315197452313,-0.0010028684802547688
JPM,2017-03-20,2017-03-21,2017-03-22,-1,0.4481244942997514,-0.03840203872701786,0.03640203872701786
JPM,2017-03-22,2017-03-23,2017-03-24,1,0.5561229650817594,0.006650424466816851,0.004650424466816851
JPM,2017-03-23,2017-03-24,2017-03-27,1,0.6480651264588,-0.02574344258589767,-0.02774344258589767
JPM,2017-03-24,2017-03-27,2017-03-28,1,0.5946277972453803,0.017421608191115157,0.015421608191115157
JPM,2017-03-27,2017-03-28,2017-03-29,1,0.5558178752921356,0.018156423495043983,0.01615642349504398
JPM,2017-03-28,2017-03-29,2017-03-30,1,0.5647422769306352,-0.004514576795570768,-0.006514576795570768
JPM,2017-03-31,2017-04-03,2017-04-04,1,0.5704557100404528,-0.006827542825021737,-0.008827542825021737
JPM,2017-04-04,2017-04-05,2017-04-06,1,0.5752020585642876,-0.02759529580420972,-0.02959529580420972
JPM,2017-04-07,2017-04-10,2017-04-11,1,0.5817848995112522,-0.006273064059753475,-0.008273064059753475
JPM,2017-04-18,2017-04-19,2017-04-20,1,0.5651579062306152,-0.006081419601392968,-0.008081419601392968
JPM,2017-04-19,2017-04-20,2017-04-21,1,0.55994886241076,0.006119083793170388,0.004119083793170388
JPM,2017-04-20,2017-04-21,2017-04-24,1,0.5788243307628028,0.012280483609255599,0.010280483609255599
JPM,2017-04-21,2017-04-24,2017-04-25,1,0.5799257681686294,0.023108140118323517,0.021108140118323515
JPM,2017-04-24,2017-04-25,2017-04-26,1,0.5670153154181935,-0.0022585710506610734,-0.0042585710506610735
JPM,2017-04-27,2017-04-28,2017-05-01,1,0.5507432203942091,-0.0027393751185579296,-0.00473937511855793
JPM,2017-05-18,2017-05-19,2017-05-22,1,0.5562475787211749,0.011519250011370996,0.009519250011370996
JPM,2017-05-19,2017-05-22,2017-05-23,1,0.6625283935998775,-0.005048457089713576,-0.007048457089713576
JPM,2017-05-22,2017-05-23,2017-05-24,1,0.5849365668087023,0.013333194363626344,0.011333194363626344
JPM,2017-05-23,2017-05-24,2017-05-25,1,0.5851676566349441,0.001280847753082348,-0.0007191522469176519
JPM,2017-05-24,2017-05-25,2017-05-26,1,0.5799403053191455,-0.010233578964409018,-0.012233578964409018
JPM,2017-05-25,2017-05-26,2017-05-30,1,0.5608996301755089,0.0002349724601722336,-0.0017650275398277664
JPM,2017-05-26,2017-05-30,2017-05-31,1,0.5792506443394645,-0.016445453439968283,-0.018445453439968285
JPM,2017-05-30,2017-05-31,2017-06-01,1,0.5522062767631072,-0.015167922967897929,-0.01716792296789793
JPM,2017-05-31,2017-06-01,2017-06-02,1,0.5669445823419779,-0.0020613621131304605,-0.0040613621131304605
JPM,2017-06-01,2017-06-02,2017-06-05,1,0.6271938616055035,0.004253067348610973,0.0022530673486109726
JPM,2017-06-02,2017-06-05,2017-06-06,1,0.5767852394730013,-0.004235005329706665,-0.006235005329706665
JPM,2017-06-05,2017-06-06,2017-06-07,1,0.5554665087518137,0.01239482929956992,0.01039482929956992
JPM,2017-06-06,2017-06-07,2017-06-08,1,0.5683259672424752,0.0072022645919362915,0.0052022645919362915
JPM,2017-06-19,2017-06-20,2017-06-21,-1,0.44245747612805864,-0.003076954287037692,0.001076954287037692
JPM,2017-07-07,2017-07-10,2017-07-11,1,0.5511370205049707,-0.0018179441545511654,-0.0038179441545511655
JPM,2017-07-11,2017-07-12,2017-07-13,1,0.5596479225919446,0.0008641195847693961,-0.001135880415230604
JPM,2017-08-01,2017-08-02,2017-08-03,1,0.5701935026828046,-0.0018306395983873625,-0.0038306395983873625
JPM,2017-09-11,2017-09-12,2017-09-13,1,0.550885275713581,0.004879724668220842,0.0028797246682208417
JPM,2017-09-12,2017-09-13,2017-09-14,1,0.5748205935698918,0.006511547266753848,0.004511547266753848
JPM,2017-09-13,2017-09-14,2017-09-15,1,0.5509204197107259,-0.0013157889365847941,-0.003315788936584794
JPM,2017-09-14,2017-09-15,2017-09-18,1,0.5684357586039558,0.009332728778451482,0.007332728778451482
JPM,2017-09-15,2017-09-18,2017-09-19,1,0.5589409918701638,0.00848438164698262,0.006484381646982619
